company_name,position,price,type_work
"
A-TEKDigitalStudio
","
Senior/MiddleFullStackDeveloper
","   От 3000 USD в месяц
    "," Удаленная работа
    "
"
DiscoveryStudio
","
BackendNode.JS,Nest.JS,Express.JS
","   Неоплачиваемая
    "," Стажировка
    "
"
ОсОО""BLASTMAKER""
","
Администраторбазданных(DBA)
","   60000 - 100000 KGS в месяц
    "," Офис / Бишкек
    "
"
ОсОО""BLASTMAKER""
","
Специалист1-линииотделатехническойподдержки
","   От 50000 KGS в месяц
    "," Офис / Бишкек
    "
"
МобильныйоператорО!
","
Middleandroid-разработчик
","   От 70000 KGS в месяц
    "," Офис / Бишкек
    "
"
МобильныйоператорО!
","
Middleios-разработчик
","   От 70000 KGS в месяц
    "," Офис / Бишкек
    "
"
OrionIT
","
Middle/SeniorPythonDeveloper
","   1400 - 4500 USD в месяц
    "," Офис / Бишкек
    "
"
ОсООСимуляторсЛайв
","
РазработчикKotlin
","   От 50000 KGS в месяц
    "," Офис / Бишкек
    "
"
Unoteam
","
Middle/SeniorPHPразработчик
","   От 1500 USD в месяц
    "," Офис / Бишкек
    "
"
Unoteam
","
MiddlePHPразработчик
","   1000 - 1500 USD в месяц
    "," Офис / Бишкек
    "
"
360.tech
","
Middle+/SeniorNode.jsDeveloper
","   2000 - 5000 USD в месяц
    "," Офис / Бишкек
    "
"
360.tech
","
Technicalsupport
","   300 - 500 USD в месяц
    "," Офис / Бишкек
    "
"
360.tech
","
HR-manager
","   20000 - 35000 KGS в месяц
    "," Офис / Бишкек
    "
"
МобильныйоператорО!
","
SMM-специалист
","   От 40000 KGS в месяц
    "," Офис / Бишкек
    "
"
PricerBishkekLLC
","
MiddleFrontendразработчик
","   600 - 1000 USD в месяц
    "," Офис / Бишкек
    "
"
Fhtagn!Studio
","
MiddlePHP/WebDeveloper
","   70000 - 150000 KGS в месяц
    "," Удаленная работа
    "
"
Fhtagn!Studio
","
JuniorPHP/WebDeveloper
","   30000 - 70000 KGS в месяц
    "," Удаленная работа
    "
"
FortylinesIO
","
Middle/Аналитикданных
","   175000 - 190000 KGS в месяц
    "," Удаленная работа
    "
"
SoftTech
","
ITSalesManagerVacancy
","   200 - 1000 USD в месяц
    "," Удаленная работа
    "
"
ОАО""АйылБанк""
","
ПрограммиствотделразработкиПО
","   30000 - 60000 KGS в месяц
    "," Офис / Бишкек
    "
